"id","title","author","year"
4003,"O Velho Segredo","Isadora Souza",2014
4004,"A Último Filosofo","Rodrigo Correia",2022
4005,"A Sensasional Jogador","Sheila Melo",2022
4006,"O Perdido Sonho","Yasmin Correia",2012
4007,"A Quarto Mistério","Sandra Correia",2017
4008,"O Grande Mistério","Rodrigo Campos",2010
4009,"O Sensasional Mistério","Rosana Pereira",2010
4010,"A Primeiro Mistério","Natália Castro",2022
4011,"O Grande Caminho","Patrícia Pinheiro",2018
4012,"O Grande Casa","Eduardo Araújo",2022
4013,"O Segundo Mistério","Valdir Rocha",2010
4014,"A Primeiro Filosofo","Lucas Andrade",2012
4015,"A Encontrado Tesouro","Helena Medeiros",2011
4016,"A Terceiro Caminho","Gustavo Mendes",2012
4017,"A Quarto Filosofo","Sabrina Martins",2020
4018,"A Novo Sonho","Yasmin Leal",2017
4019,"O Velho Desafio","Pâmela Almeida",2011
4020,"O Segundo Destino","Vitor Dias",2012
4021,"O Novo Desafio","Maitê Ribeiro",2021
4022,"A Último Imperador","Rafaela Araújo",2010
4023,"A Encontrado Caminho","Raquel Rocha",2021
4024,"O Encontrado Desafio","Nelson Cavalcanti",2020
4025,"O Perdido Mestre","José Batista",2020
4026,"O Pequeno Médico","Tatiana Almeida",2018
4027,"A Quarto Caminho","Mônica Castro",2012
4028,"O Grande Casa","Fabrício Castro",2022
4029,"O Velho Mestre","Priscila Ferreira",2016
4030,"A Perdido Sonho","Geraldo Oliveira",2017
4031,"A Primeiro Desafio","Clarice Castro",2019
4032,"O Pequeno Mistério","Elaine Ramalho",2014
4033,"A Primeiro Médico","Fernanda Rodrigues",2014
4034,"O Segundo Ditador","Daniel Martins",2013
4035,"O Primeiro Destino","Cristina Monteiro",2023
4036,"O Primeiro Caminho","Helena Batista",2018
4037,"A Quarto Destino","Isaac Cavalcanti",2012
4038,"O Segundo Mestre","Maitê Castro",2016
4039,"A Último Amor","Erick Lopes",2023
4040,"O Quarto Mestre","Maurício Teixeira",2010
4041,"O Terceiro Sonho","Eliane Borges",2020
4042,"O Primeiro Destino","Stella Vieira",2023
4043,"A Último Amor","Samuel Pereira",2019
4044,"A Perdido Destino","Geraldo Rodrigues",2012
4045,"O Perdido Mestre","Paula Souza",2016
4046,"O Segundo Sonho","Léo Sampaio",2015
4047,"A Grande Mestre","Nelson Mendes",2018
4048,"O Novo Mistério","Paulo Ramalho",2021
4049,"O Quarto Segredo","Paulo Almeida",2023
4050,"O Primeiro Mistério","Raul Ribeiro",2012
4051,"A Quarto Casa","Marcela Tavares",2018
4052,"O Terceiro Médico","Diego Medeiros",2013
4053,"O Último Desafio","Marcos Barros",2010
4054,"A Perdido Destino","Paula Batista",2013
4055,"A Pequeno Filosofo","Marcela Ferreira",2019
4056,"A Sensasional Filosofo","Samuel Silva",2021
4057,"O Segundo Caminho","Erick Correia",2012
4058,"A Encontrado Médico","Marcela Araújo",2011
4059,"O Velho Segredo","Maurício Silva",2020
4060,"O Terceiro Imperador","Beatriz Almeida",2016
4061,"O Último Filosofo","Carolina Martins",2018
4062,"A Velho Jogador","Paulo Batista",2020
4063,"A Último Desafio","Raquel Melo",2022
4064,"A Sensasional Casa","Fabrício Melo",2020
4065,"O Perdido Caminho","Rosana Marques",2016
4066,"O Último Caminho","Eliane Coutinho",2013
4067,"A Quarto Médico","Raquel Araújo",2012
4068,"A Novo Imperador","Tatiana Freitas",2023
4069,"A Quarto Destino","Léo Pinheiro",2016
4070,"A Pequeno Mestre","Flávio Freitas",2010
4071,"A Terceiro Caminho","Guilherme Pinheiro",2016
4072,"A Primeiro Casa","Rafael Campos",2010
4073,"O Grande Tesouro","Camila Leal",2021
4074,"O Primeiro Desafio","Mariana Costa",2010
4075,"O Primeiro Tesouro","Eliane Carvalho",2010
4076,"O Segundo Destino","Giovanna Rocha",2010
4077,"A Novo Destino","Hugo Martins",2014
4078,"O Grande Amor","Juliano Pereira",2018
4079,"O Velho Mansao","Iris Costa",2016
4080,"O Novo Amor","Eliane Melo",2016
4081,"A Pequeno Imperador","Mônica Carvalho",2016
4082,"A Pequeno Casa","Nathalia Fonseca",2011
4083,"A Perdido Mistério","Ricardo Castro",2016
4084,"A Segundo Segredo","Lauro Medeiros",2023
4085,"O Pequeno Casa","Isaac Marques",2016
4086,"O Velho Mistério","Marcos Leal",2022
4087,"A Primeiro Caminho","Nelson Campos",2017
4088,"O Perdido Jogador","Ivana Pires",2023
4089,"A Segundo Imperador","Carolina Cardoso",2010
4090,"A Primeiro Médico","Beatriz Castro",2016
4091,"O Sensasional Desafio","Rafael Batista",2017
4092,"A Quarto Mansao","Luiza Gomes",2022
4093,"O Sensasional Desafio","Elias Oliveira",2013
4094,"O Primeiro Caminho","Clarice Santos",2022
4095,"A Sensasional Destino","Flávio Teixeira",2012
4096,"A Encontrado Destino","Patrícia Borges",2010
4097,"A Primeiro Jogador","Mônica Cardoso",2013
4098,"O Terceiro Jogador","Maitê Medeiros",2018
4099,"A Velho Imperador","Marcos Fonseca",2022
4100,"A Velho Casa","Lívia Borges",2019
4101,"A Quarto Sonho","José Borges",2018
4102,"A Quarto Tesouro","Vanessa Marques",2023
4103,"A Grande Ditador","Júlia Andrade",2015
4104,"A Perdido Destino","Sheila Souza",2010
4105,"O Terceiro Jogador","Giovanna Pinheiro",2010
4106,"A Último Imperador","Rosana Teixeira",2016
4107,"O Encontrado Imperador","Guilherme Cavalcanti",2018
4108,"A Sensasional Mansao","Débora Araújo",2016
4109,"O Terceiro Casa","Ivan Machado",2022
4110,"O Perdido Filosofo","Diego Machado",2012
4111,"A Novo Mistério","Vitor Silva",2013
4112,"O Primeiro Desafio","Sônia Monteiro",2016
4113,"O Sensasional Amor","Gabriela Fonseca",2022
4114,"O Primeiro Mestre","Viviane Freitas",2014
4115,"O Quarto Destino","Valdir Neves",2011
4116,"O Último Filosofo","Ricardo Medeiros",2014
4117,"A Terceiro Caminho","Natália Nunes",2023
4118,"A Pequeno Caminho","Tatiana Batista",2022
4119,"A Encontrado Filosofo","Guilherme Correia",2013
4120,"O Quarto Mansao","Viviane Campos",2011
4121,"O Encontrado Imperador","Carlos Tavares",2021
4122,"A Novo Imperador","Helena Ramalho",2020
4123,"O Perdido Desafio","Nathalia Monteiro",2015
4124,"A Perdido Médico","Leonardo Coutinho",2011
4125,"A Grande Mansao","Viviane Teixeira",2018
4126,"A Novo Filosofo","Paulo Araújo",2022
4127,"O Primeiro Ditador","Yasmin Barros",2020
4128,"O Sensasional Tesouro","Simone Leal",2012
4129,"A Grande Mistério","Ana Moura",2014
4130,"A Grande Segredo","Rafaela Correia",2012
4131,"A Segundo Jogador","Rosana Campos",2017
4132,"O Pequeno Filosofo","Giovanna Moura",2015
4133,"A Perdido Mestre","Sheila Ferreira",2015
4134,"O Novo Tesouro","Pâmela Batista",2020
4135,"O Novo Mistério","Tatiana Pereira",2011
4136,"O Terceiro Amor","Rafaela Rodrigues",2018
4137,"O Velho Mestre","Maria Medeiros",2018
4138,"O Velho Casa","André Neves",2016
4139,"A Terceiro Mansao","Yasmin Rocha",2021
4140,"O Último Destino","Viviane Mendes",2013
4141,"A Grande Desafio","Isadora Barros",2010
4142,"O Perdido Casa","Paula Lima",2012
4143,"A Quarto Segredo","Nathalia Sampaio",2013
4144,"O Novo Imperador","Nelson Teixeira",2023
4145,"A Último Segredo","Tatiana Fonseca",2010
4146,"A Último Segredo","Giovanna Medeiros",2010
4147,"A Quarto Médico","Elaine Leal",2013
4148,"A Primeiro Destino","Ivan Pereira",2016
4149,"O Quarto Imperador","José Almeida",2011
4150,"A Terceiro Casa","Valéria Pinheiro",2017
4151,"A Sensasional Segredo","Stella Monteiro",2018
4152,"A Novo Ditador","Viviane Ferreira",2019
4153,"O Perdido Caminho","Davi Araújo",2022
4154,"O Encontrado Imperador","Tereza Castro",2023
4155,"O Velho Desafio","Aline Carvalho",2018
4156,"O Grande Segredo","Ricardo Nunes",2019
4157,"O Pequeno Segredo","Carlos Almeida",2022
4158,"A Último Sonho","Elias Correia",2013
4159,"O Terceiro Imperador","Otávio Machado",2018
4160,"O Quarto Segredo","Lucas Rocha",2022
4161,"A Quarto Ditador","Erick Costa",2015
4162,"A Pequeno Jogador","Luiza Santos",2022
4163,"A Segundo Imperador","Sheila Coutinho",2016
4164,"A Terceiro Tesouro","Francisco Pires",2023
4165,"A Segundo Segredo","Fernanda Neves",2021
4166,"O Terceiro Jogador","Evelyn Silva",2019
4167,"A Segundo Segredo","Raul Freitas",2015
4168,"A Encontrado Segredo","Otávio Oliveira",2014
4169,"A Perdido Mestre","Ivana Neves",2017
4170,"O Grande Casa","Francisco Vieira",2015
4171,"O Quarto Mestre","Sheila Cavalcanti",2017
4172,"A Velho Imperador","Rebeca Moura",2020
4173,"A Encontrado Tesouro","Bruno Sampaio",2012
4174,"A Velho Jogador","Roberta Barros",2015
4175,"A Grande Mansao","Nicole Araújo",2010
4176,"A Pequeno Sonho","Gabriela Almeida",2010
4177,"A Grande Casa","Simone Fonseca",2015
4178,"A Quarto Desafio","Priscila Santos",2021
4179,"A Último Desafio","Carlos Pinheiro",2018
4180,"O Terceiro Destino","Lauro Neves",2014
4181,"A Sensasional Imperador","Lívia Almeida",2010
4182,"O Perdido Ditador","Daniel Carvalho",2010
4183,"O Grande Ditador","Simone Pereira",2022
4184,"O Grande Sonho","Ricardo Ramalho",2020
4185,"O Primeiro Mansao","Aline Campos",2014
4186,"O Último Segredo","Rafael Machado",2016
4187,"A Terceiro Amor","Adriana Carvalho",2010
4188,"A Quarto Caminho","Giovanna Borges",2015
4189,"A Último Jogador","Igor Vieira",2017
4190,"A Último Destino","Hugo Braga",2020
4191,"O Pequeno Filosofo","Raquel Cavalcanti",2012
4192,"A Novo Amor","Bianca Borges",2010
4193,"A Primeiro Mistério","Elaine Martins",2020
4194,"O Perdido Mansao","Leonardo Freitas",2022
4195,"A Novo Tesouro","Simone Rodrigues",2016
4196,"O Terceiro Mansao","Bianca Campos",2010
4197,"A Perdido Amor","Elaine Azevedo",2011
4198,"O Encontrado Segredo","Cássio Medeiros",2015
4199,"A Primeiro Jogador","Bianca Pires",2022
4200,"O Pequeno Mestre","Priscila Ramalho",2018
4201,"O Primeiro Casa","Camila Gomes",2016
4202,"O Novo Médico","Luiza Oliveira",2019
4203,"O Grande Médico","Paula Nunes",2014
4204,"O Quarto Sonho","Mariana Azevedo",2011
4205,"A Terceiro Mansao","Tereza Leal",2017
4206,"O Novo Desafio","José Lima",2013
4207,"O Segundo Tesouro","Thiago Melo",2010
4208,"O Primeiro Segredo","Renata Moura",2010
4209,"O Segundo Sonho","Diogo Fonseca",2010
4210,"O Velho Mestre","Ana Ramalho",2010
4211,"O Velho Amor","Tereza Teixeira",2011
4212,"O Novo Mestre","Giovanna Tavares",2012
4213,"A Quarto Tesouro","Guilherme Barros",2023
4214,"O Último Ditador","Eliane Andrade",2011
4215,"A Último Sonho","Pâmela Tavares",2013
4216,"O Perdido Segredo","Francisco Melo",2015
4217,"O Último Jogador","Leonardo Freitas",2020
4218,"O Perdido Desafio","Ana Sampaio",2021
4219,"O Grande Casa","Hugo Campos",2011
4220,"O Último Mistério","Nathalia Coutinho",2021
4221,"O Primeiro Segredo","Vanessa Monteiro",2016
4222,"A Primeiro Caminho","Tereza Carvalho",2021
4223,"A Quarto Destino","André Vieira",2021
4224,"O Pequeno Caminho","Nelson Pinheiro",2023
4225,"O Terceiro Segredo","Juliano Coutinho",2014
4226,"O Primeiro Mestre","Fábio Tavares",2011
4227,"O Sensasional Destino","Rafael Cardoso",2014
4228,"A Perdido Médico","André Melo",2020
4229,"O Terceiro Médico","Amanda Marques",2011
4230,"A Terceiro Filosofo","Paulo Fonseca",2022
4231,"A Perdido Médico","Fábio Melo",2011
4232,"A Segundo Mistério","Raquel Silva",2019
4233,"O Pequeno Ditador","Sérgio Cavalcanti",2016
4234,"A Encontrado Imperador","Elaine Costa",2010
4235,"A Pequeno Casa","Rosana Monteiro",2017
4236,"O Velho Desafio","Giovanna Monteiro",2019
4237,"A Pequeno Sonho","Ivan Freitas",2020
4238,"O Novo Jogador","Aline Azevedo",2015
4239,"O Terceiro Amor","Stella Batista",2017
4240,"O Último Amor","Flávio Cavalcanti",2012
4241,"A Último Mestre","Juliano Fonseca",2017
4242,"A Velho Casa","Flávio Lima",2016
4243,"A Pequeno Imperador","Samuel Borges",2018
4244,"O Novo Casa","Mariana Almeida",2017
4245,"A Primeiro Ditador","Clarice Nunes",2015
4246,"A Novo Filosofo","Fernanda Cavalcanti",2020
4247,"A Encontrado Imperador","Maria Azevedo",2013
4248,"A Pequeno Sonho","Léo Marques",2018
4249,"A Sensasional Mestre","Priscila Freitas",2013
4250,"O Velho Mestre","Natália Sampaio",2013
4251,"O Velho Médico","Raul Lopes",2019
4252,"O Primeiro Destino","Valdir Braga",2019
4253,"O Segundo Segredo","Diego Machado",2023
4254,"O Quarto Amor","Sônia Souza",2012
4255,"A Perdido Caminho","Igor Marques",2011
4256,"O Sensasional Caminho","Maurício Pinheiro",2016
4257,"A Grande Mistério","Gabriel Oliveira",2016
4258,"O Encontrado Mistério","Stella Carvalho",2011
4259,"O Novo Imperador","Diego Marques",2016
4260,"A Sensasional Médico","Leonardo Ramalho",2021
4261,"A Velho Jogador","Eduardo Medeiros",2012
4262,"A Segundo Imperador","Tereza Vieira",2013
4263,"O Último Desafio","Yasmin Tavares",2016
4264,"A Quarto Filosofo","Gabriel Ferreira",2013
4265,"A Novo Mansao","Sabrina Ramalho",2016
4266,"A Segundo Filosofo","Gabriel Rodrigues",2018
4267,"A Segundo Mestre","Fernanda Batista",2014
4268,"O Terceiro Mestre","Mônica Machado",2014
4269,"O Sensasional Mansao","Fabrício Lopes",2019
4270,"O Terceiro Mistério","Otávio Dias",2011
4271,"A Primeiro Ditador","Júlia Coutinho",2020
4272,"O Último Mistério","Giovanna Correia",2018
4273,"A Terceiro Mansao","Mariana Coutinho",2016
4274,"A Grande Imperador","Diego Araújo",2012
4275,"O Sensasional Amor","Gabriel Mendes",2014
4276,"A Perdido Segredo","Evelyn Sampaio",2016
4277,"A Sensasional Imperador","Cristina Almeida",2015
4278,"O Sensasional Mestre","Carolina Nunes",2020
4279,"A Segundo Amor","Ivana Monteiro",2015
4280,"A Sensasional Mestre","Nathalia Batista",2012
4281,"A Terceiro Amor","Pedro Vieira",2012
4282,"A Sensasional Filosofo","Elaine Fonseca",2010
4283,"O Pequeno Tesouro","Diego Correia",2016
4284,"O Primeiro Casa","Lauro Campos",2013
4285,"A Pequeno Segredo","Raul Fonseca",2015
4286,"O Grande Imperador","Rafaela Pires",2014
4287,"A Segundo Jogador","Simone Moura",2023
4288,"A Pequeno Mansao","Ricardo Silva",2017
4289,"A Quarto Mestre","Guilherme Batista",2022
4290,"O Grande Casa","Diogo Costa",2010
4291,"O Velho Caminho","Carlos Marques",2016
4292,"O Encontrado Mistério","Gustavo Ramalho",2023
4293,"A Primeiro Ditador","João Andrade",2011
4294,"A Encontrado Tesouro","Thiago Cavalcanti",2011
4295,"O Quarto Sonho","Rafael Cavalcanti",2020
4296,"O Grande Filosofo","Débora Lopes",2019
4297,"O Último Segredo","Sabrina Tavares",2017
4298,"A Segundo Ditador","Rafaela Rodrigues",2017
4299,"A Quarto Amor","Pâmela Neves",2010
4300,"O Encontrado Imperador","Igor Melo",2017
4301,"A Primeiro Sonho","Rosana Silva",2011
4302,"O Grande Médico","Juliano Campos",2016
4303,"O Novo Mestre","Léo Oliveira",2014
4304,"A Novo Mansao","Débora Sampaio",2014
4305,"A Grande Ditador","Natália Azevedo",2020
4306,"O Primeiro Desafio","Fábio Ferreira",2019
4307,"O Terceiro Ditador","Thiago Mendes",2018
4308,"O Sensasional Mistério","Mônica Cardoso",2021
4309,"O Segundo Tesouro","Erick Oliveira",2016
4310,"A Pequeno Médico","Otávio Coutinho",2023
4311,"A Quarto Casa","Renata Ribeiro",2013
4312,"O Último Filosofo","Tatiana Gomes",2019
4313,"O Velho Sonho","Igor Cardoso",2013
4314,"A Primeiro Sonho","Cristina Dias",2010
4315,"O Grande Mestre","Vitor Tavares",2013
4316,"O Sensasional Segredo","Valdir Andrade",2023
4317,"O Último Jogador","Lucas Medeiros",2013
4318,"O Novo Mansao","Maitê Leal",2019
4319,"O Novo Destino","Bruno Ribeiro",2011
4320,"O Sensasional Mansao","Eliane Tavares",2022
4321,"O Último Desafio","Nicole Teixeira",2023
4322,"O Primeiro Mansao","Marcos Carvalho",2022
4323,"O Sensasional Ditador","Ivana Santos",2018
4324,"A Perdido Mistério","Carlos Pinheiro",2011
4325,"A Velho Casa","Tereza Silva",2012
4326,"O Encontrado Destino","Samuel Campos",2015
4327,"O Último Filosofo","Geraldo Oliveira",2013
4328,"O Quarto Casa","Geraldo Teixeira",2010
4329,"A Último Jogador","Samuel Rodrigues",2023
4330,"O Terceiro Tesouro","Hugo Dias",2011
4331,"O Segundo Mansao","Ivan Ramalho",2023
4332,"O Último Sonho","Flávio Gomes",2017
4333,"O Grande Mestre","Flávio Azevedo",2017
4334,"A Terceiro Jogador","Roberta Ramalho",2011
4335,"A Perdido Caminho","Igor Souza",2021
4336,"A Último Médico","Lívia Rodrigues",2018
4337,"A Encontrado Casa","Iris Fonseca",2016
4338,"O Segundo Caminho","Ivana Neves",2017
4339,"O Último Médico","Patrícia Vieira",2018
4340,"A Perdido Ditador","Sandra Rocha",2010
4341,"A Pequeno Mistério","Cássio Campos",2023
4342,"A Primeiro Mestre","Marcela Leal",2022
4343,"O Primeiro Caminho","Priscila Neves",2019
4344,"O Perdido Segredo","Stella Rocha",2013
4345,"A Sensasional Destino","Lauro Neves",2021
4346,"O Perdido Casa","Larissa Fonseca",2011
4347,"O Encontrado Mansao","Bruno Ribeiro",2011
4348,"O Novo Mestre","Rodrigo Costa",2012
4349,"O Novo Ditador","Gabriel Fonseca",2023
4350,"A Sensasional Mestre","Paula Vieira",2020
4351,"O Quarto Casa","Giovanna Azevedo",2014
4352,"A Encontrado Destino","Giovanna Correia",2015
4353,"A Velho Caminho","Bruno Araújo",2023
4354,"O Grande Segredo","Isaac Melo",2014
4355,"O Primeiro Amor","Rebeca Cavalcanti",2018
4356,"O Perdido Filosofo","Sabrina Azevedo",2019
4357,"A Último Mansao","Renata Souza",2020
4358,"A Velho Mistério","Elias Mendes",2020
4359,"O Terceiro Tesouro","Iris Ferreira",2016
4360,"O Terceiro Filosofo","Débora Moura",2011
4361,"A Sensasional Filosofo","Thiago Medeiros",2022
4362,"A Primeiro Amor","Ricardo Pereira",2016
4363,"O Terceiro Mestre","Beatriz Cardoso",2011
4364,"A Velho Ditador","Davi Andrade",2016
4365,"A Primeiro Jogador","Pedro Rocha",2012
4366,"A Velho Mestre","Adriana Mendes",2021
4367,"A Grande Casa","Igor Moura",2023
4368,"A Último Casa","Pâmela Ferreira",2023
4369,"A Último Tesouro","Gabriela Araújo",2012
4370,"O Grande Casa","Helena Cavalcanti",2018
4371,"A Último Amor","Francisco Souza",2015
4372,"A Pequeno Sonho","Vanessa Neves",2010
4373,"A Pequeno Segredo","Flávio Lima",2014
4374,"O Perdido Casa","Carlos Rodrigues",2020
4375,"A Encontrado Casa","Lauro Ramalho",2011
4376,"O Terceiro Jogador","Bianca Leal",2011
4377,"O Terceiro Destino","Yasmin Ferreira",2019
4378,"O Grande Desafio","Maurício Mendes",2018
4379,"A Encontrado Mansao","Valdir Vieira",2021
4380,"A Terceiro Mansao","Gustavo Ribeiro",2021
4381,"A Sensasional Filosofo","Simone Pereira",2023
4382,"A Perdido Caminho","Bruno Gomes",2022
4383,"A Perdido Caminho","Carlos Barros",2019
4384,"O Último Filosofo","Patrícia Barros",2019
4385,"A Grande Ditador","Francisco Neves",2021
4386,"A Segundo Mestre","Paula Nunes",2021
4387,"A Grande Jogador","Isabela Batista",2020
4388,"O Velho Casa","José Souza",2010
4389,"O Primeiro Amor","José Tavares",2023
4390,"O Pequeno Ditador","Marcelo Fonseca",2023
4391,"O Encontrado Mestre","Viviane Freitas",2012
4392,"A Último Casa","Felipe Araújo",2019
4393,"O Primeiro Mestre","Clarice Machado",2020
4394,"O Primeiro Médico","Enzo Martins",2013
4395,"A Sensasional Mestre","Enzo Medeiros",2012
4396,"O Perdido Mistério","Enzo Souza",2010
4397,"A Perdido Imperador","Daniel Araújo",2012
4398,"O Grande Destino","Débora Machado",2011
4399,"O Terceiro Tesouro","Daniel Costa",2015
4400,"A Quarto Imperador","Sérgio Ferreira",2013
4401,"A Terceiro Segredo","Ricardo Ferreira",2021
4402,"O Sensasional Ditador","Isabela Pereira",2014
4403,"O Pequeno Destino","Viviane Mendes",2019
4404,"O Velho Casa","Isaac Coutinho",2012
4405,"A Novo Filosofo","Geraldo Castro",2017
4406,"A Pequeno Imperador","Débora Almeida",2018
4407,"O Grande Tesouro","Viviane Machado",2017
4408,"O Último Filosofo","Luiza Ramalho",2016
4409,"O Perdido Jogador","Nicole Tavares",2018
4410,"A Encontrado Mistério","Léo Castro",2019
4411,"O Velho Desafio","Maurício Tavares",2020
4412,"O Novo Mestre","Nicole Andrade",2022
4413,"O Pequeno Destino","Diogo Coutinho",2010
4414,"O Terceiro Jogador","Viviane Rodrigues",2017
4415,"O Terceiro Mansao","Bianca Barros",2019
4416,"O Grande Mistério","Tatiana Almeida",2012
4417,"O Encontrado Sonho","Ivan Nunes",2010
4418,"A Último Amor","Valdir Almeida",2015
4419,"O Grande Jogador","Guilherme Cardoso",2012
4420,"O Quarto Desafio","Daniel Medeiros",2015
4421,"O Quarto Mestre","Sônia Nunes",2017
4422,"A Encontrado Filosofo","Leonardo Nunes",2010
4423,"O Terceiro Mistério","Elias Barros",2018
4424,"A Sensasional Jogador","Isaac Coutinho",2013
4425,"A Primeiro Ditador","Erick Sampaio",2017
4426,"O Encontrado Ditador","Sheila Ferreira",2022
4427,"O Perdido Segredo","Iris Tavares",2014
4428,"O Primeiro Caminho","Sérgio Pereira",2019
4429,"O Segundo Filosofo","Lívia Pires",2012
4430,"O Novo Sonho","Isadora Araújo",2011
4431,"A Velho Casa","Viviane Machado",2015
4432,"A Sensasional Casa","Júlia Rodrigues",2023
4433,"O Grande Amor","Thiago Carvalho",2018
4434,"A Primeiro Tesouro","Eliane Santos",2018
4435,"A Primeiro Destino","Diego Machado",2021
4436,"O Perdido Destino","Adriana Souza",2011
4437,"O Quarto Amor","Amanda Pinheiro",2018
4438,"O Grande Sonho","Sandra Marques",2020
4439,"A Quarto Caminho","Juliano Marques",2015
4440,"A Último Segredo","Fabrício Pires",2021
4441,"A Último Sonho","Felipe Teixeira",2011
4442,"A Quarto Segredo","Nelson Freitas",2013
4443,"O Quarto Mestre","Larissa Pires",2018
4444,"O Segundo Desafio","Pedro Tavares",2023
4445,"A Segundo Médico","Stella Cardoso",2013
4446,"A Grande Caminho","Marcos Tavares",2018
4447,"A Encontrado Ditador","Giovanna Sampaio",2012
4448,"A Velho Destino","Mariana Souza",2022
4449,"A Grande Desafio","Maurício Leal",2022
4450,"O Primeiro Mistério","Iris Ramalho",2015
4451,"A Quarto Casa","Eliane Araújo",2017
4452,"O Terceiro Mistério","Sérgio Cardoso",2020
4453,"A Grande Filosofo","Renata Machado",2013
4454,"A Novo Imperador","Marcos Ferreira",2021
4455,"O Novo Mestre","Maitê Sampaio",2019
4456,"A Quarto Mestre","Júlia Ferreira",2020
4457,"O Primeiro Caminho","Leonardo Correia",2022
4458,"O Terceiro Desafio","Tereza Ramalho",2021
4459,"O Terceiro Desafio","Sérgio Dias",2015
4460,"O Sensasional Tesouro","Igor Nunes",2011
4461,"A Quarto Amor","Eliane Vieira",2010
4462,"A Segundo Desafio","Diego Medeiros",2019
4463,"O Terceiro Mestre","Marcelo Freitas",2013
4464,"A Perdido Médico","Maria Fonseca",2014
4465,"A Primeiro Sonho","Patrícia Marques",2017
4466,"A Novo Mestre","Nathalia Santos",2016
4467,"A Novo Mansao","Tatiana Braga",2022
4468,"A Velho Médico","Juliano Souza",2023
4469,"A Segundo Desafio","Léo Sampaio",2013
4470,"O Perdido Jogador","Diego Ferreira",2017
4471,"O Primeiro Ditador","Erick Freitas",2018
4472,"A Grande Segredo","Juliano Marques",2013
4473,"A Encontrado Mestre","Bianca Neves",2021
4474,"O Terceiro Amor","Raul Gomes",2017
4475,"O Segundo Mansao","Samuel Correia",2011
4476,"O Encontrado Jogador","Valdir Pires",2020
4477,"A Último Amor","Roberta Costa",2015
4478,"O Quarto Filosofo","Stella Rodrigues",2020
4479,"A Grande Jogador","Nelson Machado",2016
4480,"A Segundo Casa","Raul Oliveira",2022
4481,"O Quarto Caminho","Vanessa Campos",2019
4482,"O Perdido Tesouro","Paulo Azevedo",2013
4483,"A Novo Amor","Léo Vieira",2017
4484,"O Novo Desafio","Bruno Souza",2013
4485,"A Quarto Mestre","Ivana Batista",2012
4486,"A Pequeno Amor","Maria Sampaio",2020
4487,"A Encontrado Sonho","Elaine Ramalho",2022
4488,"A Segundo Desafio","João Freitas",2015
4489,"A Sensasional Mestre","Carlos Lima",2022
4490,"O Perdido Mestre","Ana Leal",2012
4491,"A Primeiro Tesouro","Sérgio Marques",2011
4492,"O Sensasional Casa","Juliano Nunes",2011
4493,"O Velho Caminho","Thiago Araújo",2023
4494,"O Segundo Segredo","Yasmin Neves",2019
4495,"A Velho Filosofo","Paulo Souza",2017
4496,"O Grande Mestre","Sabrina Ferreira",2011
4497,"O Primeiro Amor","Ana Pinheiro",2020
4498,"O Terceiro Caminho","Maitê Neves",2015
4499,"A Último Amor","Camila Araújo",2015
4500,"A Grande Imperador","Helena Rodrigues",2019
4501,"A Pequeno Imperador","Eliane Martins",2015
4502,"A Último Filosofo","Viviane Vieira",2012
4503,"O Pequeno Mistério","Fernanda Cardoso",2014
4504,"O Terceiro Amor","Diogo Oliveira",2016
4505,"O Sensasional Mansao","Rebeca Campos",2011
4506,"O Perdido Médico","Marcelo Tavares",2021
4507,"O Sensasional Filosofo","Sabrina Costa",2011
4508,"A Sensasional Segredo","Vanessa Correia",2013
4509,"O Último Imperador","Gabriel Teixeira",2020
4510,"A Pequeno Casa","Felipe Araújo",2018
4511,"A Segundo Sonho","José Silva",2010
4512,"A Perdido Desafio","Sheila Costa",2012
4513,"O Terceiro Médico","Roberta Fonseca",2021
4514,"A Segundo Desafio","Marcela Nunes",2012
4515,"A Primeiro Mansao","Rebeca Souza",2015
4516,"A Encontrado Mansao","Gabriela Costa",2022
4517,"A Novo Mansao","Débora Martins",2017
4518,"O Velho Caminho","Sandra Martins",2012
4519,"O Perdido Jogador","Daniel Rodrigues",2014
4520,"A Primeiro Caminho","Evelyn Ferreira",2018
4521,"A Perdido Sonho","Felipe Costa",2011
4522,"O Grande Imperador","Carolina Oliveira",2015
4523,"O Grande Mansao","Isadora Andrade",2023
4524,"O Velho Destino","Rebeca Lopes",2011
4525,"O Perdido Mansao","Mônica Lima",2018
4526,"O Sensasional Filosofo","Diogo Pinheiro",2019
4527,"A Primeiro Mestre","Beatriz Correia",2023
4528,"O Quarto Mansao","Felipe Ribeiro",2017
4529,"O Primeiro Segredo","Ivana Silva",2017
4530,"O Segundo Médico","Gabriela Martins",2018
4531,"O Terceiro Mestre","João Machado",2017
4532,"O Terceiro Mistério","Cássio Gomes",2022
4533,"A Terceiro Filosofo","Nelson Sampaio",2023
4534,"O Terceiro Segredo","Vitor Marques",2023
4535,"A Último Amor","Tereza Pinheiro",2016
4536,"A Quarto Mistério","Helena Machado",2014
4537,"A Terceiro Tesouro","Fabrício Lopes",2012
4538,"O Pequeno Casa","Adriana Barros",2014
4539,"O Primeiro Tesouro","Iris Santos",2015
4540,"O Primeiro Filosofo","Adriana Ramalho",2021
4541,"A Velho Médico","Daniel Oliveira",2020
